Layer,Accuracy,Precision,Recall,F1 Score
0,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
1,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
2,0.8333333333333334,0.8703703703703703,0.8333333333333334,0.8229166666666666
3,0.75,0.84375,0.75,0.7447552447552447
4,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
5,0.75,0.763888888888889,0.75,0.7517482517482518
6,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
7,0.9166666666666666,0.9270833333333334,0.9166666666666666,0.9148148148148149
8,0.75,0.75,0.75,0.7444444444444445
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10,0.5833333333333334,0.5972222222222222,0.5833333333333334,0.5862470862470862
11,0.16666666666666666,0.1761904761904762,0.16666666666666666,0.16666666666666666
