Layer,Accuracy,Precision,Recall,F1 Score
0,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
1,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
2,0.75,0.84375,0.75,0.7447552447552447
3,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
4,0.75,0.84375,0.75,0.7447552447552447
5,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
6,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
7,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
8,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
9,0.5,0.5740740740740741,0.5,0.47142857142857136
10,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
11,0.5,0.5740740740740741,0.5,0.47142857142857136
